  code       ,rgb             ,hex    ,name              
  19-3909 TCX,"rgb(46,39,42)   ",#2E272A,Black Bean        
  19-3911 TCX,"rgb(38,38,42)   ",#26262A,Black Beauty      
  19-3922 TCX,"rgb(38,41,52)   ",#262934,Sky Captain       
  19-4003 TCX,"rgb(43,39,43)   ",#2B272B,Black Onyx        
  19-4004 TCX,"rgb(42,43,45)   ",#2A2B2D,Tap Shoe          
  19-4006 TCX,"rgb(41,42,45)   ",#292A2D,Caviar            
  19-4007 TCX,"rgb(40,40,45)   ",#28282D,Anthracite        
  19-4008 TCX,"rgb(43,41,41)   ",#2B2929,Meteorite         
  19-5350 TCX,"rgb(35,49,45)   ",#23312D,Scarab            
  19-5708 TCX,"rgb(38,44,42)   ",#262C2A,Jet Set           
  19-4038 TCX,"rgb(18,56,80)   ",#123850,Gibraltar Sea     
  19-4034 TCX,"rgb(14,58,83)   ",#0E3A53,Sailor Blue       
  19-4120 TCX,"rgb(15,59,87)   ",#0F3B57,Blue Opal         
  19-3952 TCX,"rgb(32,60,127)  ",#203C7F,Surf the Web      
  19-3864 TCX,"rgb(39,60,118)  ",#273C76,Mazarine Blue     
  19-3951 TCX,"rgb(54,59,124)  ",#363B7C,Clematis Blue     
  19-4045 TCX,"rgb(0,75,141)   ",#004B8D,Lapis Blue        
  19-4052 TCX,"rgb(15,76,129)  ",#0F4C81,Classic Blue      
  19-4056 TCX,"rgb(26,76,139)  ",#1A4C8B,Blue Iolite       
  19-4150 TCX,"rgb(0,83,156)   ",#00539C,Princess Blue     
  19-4151 TCX,"rgb(0,88,155)   ",#00589B,Skydiver          
  18-4148 TCX,"rgb(8,88,157)   ",#08589D,Victoria Blue     
  19-4053 TCX,"rgb(25,81,144)  ",#195190,Turkish Sea       
  18-4244 TCX,"rgb(0,97,163)   ",#0061A3,Directoire Blue   
  18-4045 TCX,"rgb(15,95,154)  ",#0F5F9A,Daphne            
  18-4051 TCX,"rgb(31,93,160)  ",#1F5DA0,Strong Blue       
  18-3945 TCX,"rgb(73,96,168)  ",#4960A8,Amparo Blue       
  18-4048 TCX,"rgb(45,98,163)  ",#2D62A3,Nebulas Blue      
  19-4033 TCX,"rgb(18,57,85)   ",#123955,Poseidon          
  18-4043 TCX,"rgb(52,108,176) ",#346CB0,Palace Blue       
  19-5220 TCX,"rgb(18,64,60)   ",#12403C,Botanical Garden  
  19-5232 TCX,"rgb(21,70,62)   ",#15463E,Rain Forest       
  19-4057 TCX,"rgb(30,68,119)  ",#1E4477,True Blue         
  18-4140 TCX,"rgb(0,114,181)  ",#0072B5,French Blue       
  18-4252 TCX,"rgb(0,119,179)  ",#0077B3,Blue Aster        
  18-4440 TCX,"rgb(0,117,175)  ",#0075AF,Cloisonné         
  19-5406 TCX,"rgb(33,54,49)   ",#213631,Pine Grove        
  19-5230 TCX,"rgb(24,74,69)   ",#184A45,Forest Biome      
  17-4245 TCX,"rgb(0,124,183)  ",#007CB7,Ibiza Blue        
  17-4247 TCX,"rgb(0,123,178)  ",#007BB2,Diva Blue         
  18-4330 TCX,"rgb(0,126,177)  ",#007EB1,Swedish Blue      
  19-5918 TCX,"rgb(46,61,48)   ",#2E3D30,Mountain View     
  19-5217 TCX,"rgb(3,84,83)    ",#035453,Storm             
  19-4524 TCX,"rgb(0,88,94)    ",#00585E,Shaded Spruce     
  19-4540 TCX,"rgb(0,82,101)   ",#005265,Deep Lagoon       
  19-4241 TCX,"rgb(15,78,103)  ",#0F4E67,Moroccan Blue     
  19-4340 TCX,"rgb(0,88,113)   ",#005871,Lyons Blue        
  18-4434 TCX,"rgb(0,87,128)   ",#005780,Mykonos Blue      
  18-4231 TCX,"rgb(9,87,123)   ",#09577B,Blue Sapphire     
  19-4048 TCX,"rgb(21,81,135)  ",#155187,Baleine Blue      
  18-4141 TCX,"rgb(50,114,175) ",#3272AF,Campanula         
  19-6050 TCX,"rgb(38,78,54)   ",#264E36,Eden              
  18-5322 TCX,"rgb(0,95,86)    ",#005F56,Alpine Green      
  19-5226 TCX,"rgb(0,91,93)    ",#005B5D,Everglade         
  19-4234 TCX,"rgb(11,83,105)  ",#0B5369,Ink Blue          
  19-4342 TCX,"rgb(0,94,125)   ",#005E7D,Seaport           
  19-4535 TCX,"rgb(0,97,117)   ",#006175,Ocean Depths      
  18-4530 TCX,"rgb(0,99,128)   ",#006380,Celestial         
  19-5420 TCX,"rgb(17,87,74)   ",#11574A,Evergreen         
  18-5338 TCX,"rgb(0,107,84)   ",#006B54,Ultramarine Green 
  18-5845 TCX,"rgb(0,110,81)   ",#006E51,Lush Meadow       
  18-5424 TCX,"rgb(0,103,91)   ",#00675B,Cadmium Green     
  18-5025 TCX,"rgb(0,104,101)  ",#006865,Quetzal Green     
  18-4728 TCX,"rgb(0,101,110)  ",#00656E,Harbor Blue       
  18-4834 TCX,"rgb(0,101,107)  ",#00656B,Deep Lake         
  19-4536 TCX,"rgb(0,99,124)   ",#00637C,Crystal Teal      
  18-4432 TCX,"rgb(0,105,139)  ",#00698B,Turkish Tile      
